arm,length,H_r,H_r_norm,L_best,L_mix,spread,H_tok,segments,switch_rate,argmax_k,r_cluster-0,r_cluster-1,r_cluster-2,r_cluster-3,r_cluster-4,true_k
free,127,7.227561505512141e-05,1.5700845756340058,-1.8697720024529405,-1.8765132119697154,0.7692129780927044,1.3049231127348144,19,0.746031746031746,cluster-2,3.747561145519923e-43,5.513744284280708e-06,0.9999944862557251,1.9621454991036146e-33,3.003537553908542e-15,
free,127,7.932542718931677e-10,1.5626950131466844,-1.951554786501907,-1.9582960309543003,0.986894141970657,1.2754082483745406,25,0.8333333333333334,cluster-2,3.693683077965178e-55,6.27471306717089e-17,0.9999999999685087,1.2196828254052299e-27,3.150250720283192e-11,
free,127,0.09170676692141985,1.6083392349567451,-2.254296490526575,-2.2610189368434113,0.13141493909940927,1.318723650374341,30,0.7777777777777778,cluster-2,0.008663036615587935,5.5574681175229564e-08,0.9842839580303806,3.930119976471027e-06,0.007049019659396355,
free,121,8.184423565808193e-14,1.5327541201580068,-1.729302524535124,-1.7363780455720037,1.2123998216361054,1.1925656141075711,33,0.8333333333333334,cluster-2,1.9446218443137754e-64,2.428791840223175e-15,1.0,9.865581318917284e-43,2.771214246101982e-18,
free,127,1.143821357602915e-12,1.5990143660837943,-1.7858718511626477,-1.8029403745572798,0.4313779815914125,1.337785955663542,33,0.8333333333333334,cluster-4,1.6112955901201237e-24,8.148754047268261e-17,3.559348535191176e-14,2.841331740168535e-16,0.9999999999999716,
free,127,1.1669854132157326e-18,1.5663976947786562,-2.1753078670952264,-2.1820491115476868,0.8334737462321606,1.2729249102610227,29,0.7857142857142857,cluster-2,1.0700961521316086e-46,2.587490989553251e-20,1.0,1.2761661232252533e-26,3.4935523387456963e-38,
free,127,3.8571437051271945e-14,1.529892429549236,-2.0904742864173227,-2.097215530869783,1.023985855222687,1.278218739657718,25,0.7777777777777778,cluster-2,3.323926242541898e-57,1.1204468363675749e-15,1.0,1.3094514347122234e-51,6.49132293377074e-41,
free,127,0.6094331208432315,1.5672690320858482,-2.315961942898007,-2.330628278029568,0.9164575291430856,1.246418949771896,30,0.7301587301587301,cluster-4,1.9939797910548142e-51,0.00018901627775431748,2.9067291614928993e-06,0.29624729371603575,0.7035607832770359,
free,127,8.88157166508255e-05,1.6003609608244174,-1.5275913749154157,-1.5459834341287118,0.42029745747723934,1.364940990817773,41,0.8253968253968254,cluster-3,6.58147253038614e-24,5.378292799263601e-06,1.5364375987990293e-09,0.9999933768869396,1.243283833622102e-06,
free,127,0.013023176602936865,1.6044706348979103,-2.6922484870970718,-2.700696118390468,0.28805806317667315,1.2485014037196982,36,0.7857142857142857,cluster-1,2.2495380414597986e-10,0.9982239180645425,1.2920237705222894e-16,9.8040737723841e-09,0.0017760719064476096,
free,127,1.3417732565764986e-12,1.5845551630218988,-2.3923594557394194,-2.3991007001918794,0.6325995978407972,1.2658570858519376,25,0.7142857142857143,cluster-2,1.2844483531462094e-35,3.213302228350833e-19,0.9999999999999432,1.9284413415663463e-29,4.1707081150903224e-14,
